city,restaurant_name,cuisine,rating,price_range,specialties
Islamabad,Monal Restaurant,Pakistani,4.8,High,"BBQ, Traditional"
Islamabad,Chaaye Khana,Cafe,4.6,Medium,"Tea, Snacks"
Islamabad,Asian Wok,Chinese,4.5,High,"Dim Sum, Noodles"
Karachi,Burns Road Food Street,Street Food,4.7,Low,"Biryani, BBQ"
Karachi,Okra,International,4.8,High,"Fusion, Seafood"
Karachi,Al Habib Restaurant,Pakistani,4.6,Medium,"Karahi, BBQ"
Lahore,Butt Karahi,Pakistani,4.9,Medium,"Karahi, BBQ"
Lahore,Cafe Aylanto,International,4.7,High,"Italian, Continental"
Lahore,Cooco's Den,Traditional,4.8,Medium,"Traditional, BBQ"
Peshawar,Shinwari Karahi,Pakistani,4.8,Medium,"Karahi, Pulao"
Peshawar,Charasi Tikka Shop,BBQ,4.7,Low,"Tikka, Karahi"
Quetta,Salateen Restaurant,Pakistani,4.6,Medium,"Karahi, BBQ"
Quetta,Green Hotel Restaurant,Traditional,4.5,Medium,"Traditional, BBQ"
Faisalabad,Food Street,Street Food,4.7,Low,"BBQ, Traditional"
Faisalabad,Spice Bazaar,Pakistani,4.6,Medium,"Karahi, BBQ"
Multan,Al Rehman Restaurant,Pakistani,4.7,Medium,"Traditional, BBQ"
Multan,Sajji House,BBQ,4.6,Medium,"Sajji, BBQ"
Hyderabad,Shahbaz Restaurant,Pakistani,4.7,Medium,"Biryani, BBQ"
Hyderabad,Food Street,Street Food,4.6,Low,"Traditional, BBQ" 
