city,attraction_name,category,rating,entry_fee,description
Islamabad,Faisal Mosque,Religious,4.9,0,"World's largest mosque in a Muslim country"
Islamabad,Daman-e-Koh,Viewpoint,4.7,0,"Scenic viewpoint overlooking Islamabad"
Islamabad,Shakarparian,Parks,4.6,0,"Beautiful park with cultural monuments"
Karachi,Clifton Beach,Beach,4.5,0,"Popular beach with entertainment"
Karachi,Mohatta Palace,Museum,4.7,500,"Historic palace turned museum"
Karachi,Port Grand,Entertainment,4.6,1000,"Waterfront dining and entertainment"
Lahore,Badshahi Mosque,Religious,4.9,0,"One of the world's largest mosques"
Lahore,Lahore Fort,Historical,4.8,500,"UNESCO World Heritage site"
Lahore,Shalimar Gardens,Historical,4.7,500,"Mughal-era gardens"
Peshawar,Qissa Khwani Bazaar,Market,4.6,0,"Historic marketplace"
Peshawar,Peshawar Museum,Museum,4.5,200,"Ancient artifacts and history"
Quetta,Hanna Lake,Natural,4.7,100,"Scenic lake with boating"
Quetta,Ziarat,Natural,4.8,0,"Juniper forest and historical sites"
Faisalabad,Clock Tower,Historical,4.5,0,"Historic city center landmark"
Multan,Shrine of Bahauddin Zakariya,Religious,4.8,0,"Historic Sufi shrine"
Hyderabad,Pakka Qila,Historical,4.6,0,"Ancient fort with museum" 
